       Train Prediction  Actual Value
468            9.834297            10
469            9.777667            10
470            9.823978            10
471            9.909410            10
472            9.909410             9
473            8.825631             9
474            8.643158             9
475            8.705326             9
476            8.824265             9
477            8.907768             9
478            8.907768             9
479            8.907768             9
480            8.907768             9
481            8.907768             9
482            8.907768             9
483            8.907768             9
484            8.907768             8
485            7.827745             8
486            7.659397             8
487            7.719995             8
488            7.830959             8
489            7.911021             8
490            7.911021             8
491            7.911021             8
492            7.911021             8
493            7.911021             7
494            6.837526             7
495            6.684076             8
496            7.810941             8
497            8.093272             8
498            8.092930             8
499            7.983044             8
500            7.911021             8
501            7.911021             9
502            9.021962            10
503           10.349971            10
504           10.411520            10
505           10.191345            11
506           11.113914            11
507           11.211787            11
508           11.134084            12
509           12.121220            13
510           13.375298            12
511           12.323639            12
512           11.934400            12
513           11.783130            12
514           11.839874            12
515           11.924605            13
516           13.040117            14
517           14.382546            13
518           13.334733            13
519           12.947248            11
520           10.702529            10
521            9.370682             9
522            8.290042             9
523            8.314427             8
524            7.586707             7
525            6.578275             6
526            5.547215             6
527            5.503747             6
528            5.687668             6
529            5.852134             6
530            5.925494             7
531            7.022405             7
532            7.172439             7
533            7.086981             7
534            6.985628             7
535            6.917458             8
536            8.023181             8
537            8.179283             7
538            6.985322             7
539            6.746656             7
540            6.739563             6
541            5.792862             6
542            5.713142             5
543            4.747161             5
544            4.683613             5
545            4.777680             5
546            4.861718             6
547            6.017536             7
548            7.324415             8
549            8.547028            10
550           10.746528            12
551           13.022599            12
552           12.957605            11
553           11.342701            11
554           10.787351            11
555           10.699043            11
556           10.830047            11
557           10.915759            11
558           10.915759            11
559           10.915759            12
560           12.031106            12
561           12.223090            12
562           12.149954            12
563           12.006523            12
564           11.924605            12
565           11.924605            11
566           10.839603            11
567           10.640241            11
568           10.699043            11
569           10.830047            11
570           10.915759            10
571            9.830637            10
572            9.637238             9
573            8.642385             9
574            8.566266             8
575            7.655416             8
576            7.585399             8
577            7.719995             9
578            8.929082            10
579           10.349971            10
580           10.411520            10
581           10.191345            10
582            9.988965             8
583            7.791774             8
584            7.437418             8
585            7.534617             8
586            7.745250             8
587            7.911021             8
588            7.911021             7
589            6.837526             7
590            6.684076             7
591            6.739563             6
592            5.792862             6
593            5.713142             7
594            6.819334             8
595            8.231745             9
596            9.558061            11
597           11.742805            14
598           15.082265            15
599           16.299458            16
600           17.119043            18
601           18.952896            18
602           18.836573            18
603           18.478563            19
604           19.249617            20
605           20.369165            20
606           20.398376            20
607           20.192047            20
608           19.976545            21
609           21.072210            21
610           21.128456            21
611           21.096197            20
612           19.820513            20
613           19.688139            20
614           19.710312            19
615           18.728374            18
616           17.633980            16
617           15.563371            14
618           13.519083            14
619           13.185899            13
620           12.428180            11
621           10.593120            11
622           10.238961            11
623           10.422781            10
624            9.679206            10
625            9.637238            10
626            9.698410            11
627           10.929240            11
628           11.211787            12
629           12.271479            12
630           12.309546            11
631           11.040677            11
632           10.715568            11
633           10.699043            11
634           10.830047            11
635           10.915759            11
636           10.915759            11
637           10.915759            11
638           10.915759            11
639           10.915759            10
640            9.830637            10
641            9.637238            10
642            9.698410            11
643           10.929240            13
644           13.505126            14
645           14.927699            15
646           15.925229            16
647           16.814978            17
648           17.740057            18
649           18.737532            19
650           19.730185            20
651           20.717697            21
652           21.701031            22
653           22.666803            22
654           22.436190            23
655           23.370556            23
656           23.193644            23
657           23.080877            23
658           22.951656            24
659           24.067902            23
660           22.885317            23
661           22.841000            22
662           21.595566            22
663           21.613804            19
664           18.473715            19
665           18.321711            17
666           16.401484            16
667           15.421095            15
668           14.411520            14
669           13.449432            14
670           13.438975            13
671           12.614121            12
672           11.572991            12
673           11.452209            11
674           10.576546            11
675           10.563096            11
676           10.699043            10
677            9.755838            10
678            9.637238            10
679            9.698410            10
680            9.823978             9
681            8.825631             8
682            7.612956             8
683            7.484783             8
684            7.640796             8
685            7.830959             8
686            7.911021             8
687            7.911021             7
688            6.837526             7
689            6.684076             7
690            6.739563             8
691            7.932511             8
692            8.179283             9
693            9.236771            11
694           11.560131            15
695           16.018238            17
696           18.500559            19
697           20.438944            20
698           21.307837            21
699           21.983229            21
700           21.550163            22
701           22.394899            22
702           22.198919            23
703           23.302631            24
704           24.344194            23
705           23.076988            24
706           24.090338            24
707           23.979738            23
708           22.796467            23
709           22.734701            23
710           22.703974            22
711           21.639244            21
712           20.533169            20
713           19.413534            20
714           19.460676            19
715           18.558569            19
716           18.637770            19
717           18.723583            18
718           17.763859            18
719           17.708591            18
720           17.733801            18
721           17.862566            17
722           16.850170            17
723           16.710119            17
724           16.736605            17
725           16.866419            17
726           16.933178            17
727           16.933178            16
728           15.864685            16
729           15.702248            16
730           15.730188            16
731           15.860621            16
732           15.935730            16
733           15.935730            15
734           14.866567            15
735           14.685224            15
736           14.718015            15
737           14.859855            15
738           14.939785            15
739           14.939785            15
740           14.939785            16
741           16.066509            16
742           16.229183            17
743           17.321779            17
744           17.303097            18
745           18.323343            18
746           18.284880            18
747           18.146427            19
748           19.160408            19
749           19.174574            18
750           18.017525            17
751           16.715420            17
752           16.539351            17
753           16.675644            17
754           16.866419            17
755           16.933178            17
756           16.933178            17
757           16.933178            17
758           16.933178            16
759           15.864685            16
760           15.702248            16
761           15.730188            16
762           15.860621            16
763           15.935730            16
764           15.935730            16
765           15.935730            15
766           14.866567            15
767           14.685224            15
768           14.718015            14
769           13.800715            14
770           13.665871            14
771           13.716386            13
772           12.781307            13
773           12.658083            13
774           12.711233            13
775           12.849925            13
776           12.933000            12
777           11.848104            12
778           11.648520            12
779           11.704492            12
780           11.839874            12
781           11.924605            12
782           11.924605            12
783           11.924605            12
784           11.924605            12
785           11.924605            12
786           11.924605            12
787           11.924605            12
788           11.924605            12
789           11.924605            12
790           11.924605            13
791           13.040117            13
792           13.231848            13
793           13.163066            13
794           13.014667            13
795           12.933000            13
796           12.933000            14
797           14.049859            14
798           14.236357            14
799           14.171551            14
800           14.019672            14
801           13.938560            14
802           13.938560            15
803           15.058979            15
804           15.235640            14
805           14.062364            14
806           13.739431            14
807           13.716386            14
808           13.857231            14
809           13.938560            13
810           12.852224            13
811           12.658083            13
812           12.711233            13
813           12.849925            13
814           12.933000            13
815           12.933000            13
816           12.933000            13
817           12.933000            12
818           11.848104            12
819           11.648520            11
820           10.644236            11
821           10.563096            11
822           10.699043            11
823           10.830047            11
824           10.915759            10
825            9.830637            10
826            9.637238             9
827            8.642385             9
828            8.566265             8
829            7.655416             7
830            6.578277             7
831            6.522533             7
832            6.663782             7
833            6.841383             8
834            8.023181            10
835           10.473846            10
836           10.697999            11
837           11.536726            12
838           12.543862            13
839           13.625218            14
840           14.724665            14
841           14.564816            16
842           16.541048            16
843           16.614779            16
844           16.412632            17
845           17.247400            17
846           17.216591            18
847           18.323343            18
848           18.284880            18
849           18.146427            19
850           19.160408            18
851           18.041355            18
852           17.898701            17
853           16.731642            16
854           15.629107            15
855           14.535450            14
856           13.485692            14
857           13.438975            13
858           12.614120            13
859           12.584457            12
860           11.650314            12
861           11.573009            11
862           10.644236            11
